"NAME","COUNT","CARGO TYPE (Heavy, Medium, Light, Raw, Pot)","checkerboard","REL FAME","SPECIAL TEXT","WEAPON, ARMOR, RANGED, EXPERT","SPECIAL RULE","Non Tradable","SIZE H","SIZE M","SIZE L","FAME * QUANTITY","","FAME","PACKAGE TYPE 1","PACKAGE TYPE 2","NAME","Cargo Type New","Symbology (Fist-Heart-Wits-Bulk-Midweight-Elite)"
"JEWELRY","1","L","0100","","","n","","","","","2","14","","6","Elite","","JEWELRY","Elite","HE"
"LAPIS LAZULI CYLINDER SEAL","1","L","0011","4","_+1d6|DIPL","n","_+1d6 to one Diplomacy attempt. Return to Gift Pool","","","","1","7","","6","Elite","Diplomacy","LAPIS LAZULI CYLINDER SEAL","Elite","FWE"
"LEKYTHION","1","M","0100","3","","n","","","","4","","10","","5","Elite","","LEKYTHION","Midweight","M"
"LYRE","1","M","0101","3","","n","Allows one Helen/Pahntom Willingness check each Upkeep (6.2). Roll 1d6; on a 5/6 Unwilling Helen/Phantom becomes Willing. Paris may not use Lyre for second Willingness check; but Menelaos may.","","","","","","","6","Elite","Religious","LYRE","Elite","HWE"
"MASTER ARCHER","1","M","1111","","","x","","","","","","","","20","Expert","Military","MASTER ARCHER","Midweight","HWF"
"MASTER NAVIGATOR","1","M","1111","","","x","","","","","","","","20","Expert","Military","MASTER NAVIGATOR","Midweight","HWF"
"MUSIC GIRLS","2","H","1001","4","","n","","","2","","","20","","10","Elite","Dowry","MUSIC GIRLS","Bulk","HHBBB"
"MYCENEAN JAR","2","P","0010","1","","n","","","3","","","9","","4","Food","","MYCENEAN JAR","Bulk","BB"
"NECKLACE","1","L","1000","2","","n","","","","","","","","2","Elite","","NECKLACE","Elite","HE"
"NEPENTHE","5","L","0111","5","_^HEAL 2","n","Play during Recovery / Refit only at a Palace ","","","","2","16","","8","Elite","","NEPENTHE","Elite","HHEE"
"OARS","2","H","0010","0","_+1\nShip","n","Play during Recovery / Refit only at a Palace ","","2","","","4","","1","Military","","OARS","Bulk","FB"
"Olive Oil","2","R","0110","2","","n","","","","","","","","7","Food","","Olive Oil","Bulk","B"
"OSTRICH EGG","1","M","1000","4","","n","","","","3","","3","","3","Elite","","OSTRICH EGG","Elite","E"
"Pomegranate","1","R","0010","2","","n","","","","","","","","4","Food","","Pomegranate","Midweight","M"
"RATS","1","M","0000","0","","n","When Rats is drawn, it occupies one Medium Cargo space and cannot be spent. Can only be removed by possessing Cat for at least one turn.","x","","","1","-5","","-10","","","RATS","Midweight",""
"RESIN","2","M","0001","2","","n","Can be played in addition to other Gift for Oracle attempt.","","","4","","15","","5","Ship","Religious","RESIN","Midweight","WM"
"ROPE","2","M","0010","0","_^+1 Ship","n","May be played at any time, but will not prevent a Swept To outcome.","","","3","","3","","1","Ship","","ROPE","bulk","FB"
"SCALE","1","L","0110","4","","n","May add abiltiy later","","","","","","","2","Meta","","SCALE","Midweight","WM"
"SCARAB OF NEFERTITI","1","L","0010","5","","n","","","","","1","5","","5","Elite","","SCARAB OF NEFERTITI","Elite","HE"
"SHIELD AND SPEAR","1","L","1111","4","_+1d6\nDEF|+1d6\nATK","wa","","","","2","","30","","5","Military","","SHIELD AND SPEAR","Elite","FE"
"SILVER-HILTED SWORD","1","L","0111","4","_+2d6\nATK","w","","","","","2","12","","6","Military","Ceremonial","SILVER-HILTED SWORD","Elite","FE"
"SINGER","1","M","1010","","","x","","","","","","","","20","Expert","Ceremonial","SINGER","Midweight","HHWWM"
"SLAVES","10","H","0110","4","","n","","","","","","","","10","Elite","","SLAVES","bulk","BBB"
"SPICES","2","L","1001","3","","n","","","","","3","21","","7","Elite","","SPICES","Midweight","HM"
"STAND","1","M","0010","2","","n","","","","4","","12","","7","Elite","","STAND","Elite","WE"
"STATUE","1","L","0100","3","","n","","","","","1","12","","10","Religious","","STATUE","Midweight","HMM"
"STONE SCEPTER","1","M","1000","2","","n","","","","2","","10","","5","Elite","Ceremonial","STONE SCEPTER","Elite","FE"
"SWORDS","1","L","1010","4","_+2d6\nATK","w","","","","","","","","5","Military","","SWORDS","Elite","FE"
"SYMPOSIUM BOWL","1","L","0001","2","","n","","","","","2","10","","6","Elite","","SYMPOSIUM BOWL","Elite","HE"
"TABLET","1","L","0101","1","","n","During any Hospitality encounter involving Gifts, draw +3 Gifts and return Tablet to Gift Pool.","","","","2","8","","0","Meta","","TABLET","Elite","WE"
"THORAX","1","L","1101","4","_+1d6\nDEF","a","","","","2","","16","","5","Military","Ceremonial","THORAX","Elite","FE"
"TIN INGOT","5","M","1010","2","","n","","","","8","","18","","3","Military","Trade","TIN INGOT","bulk","FFBB"
"TORTOISE SHELL","1","M","0011","3","","n","","","","2","","6","","3","Ceremonial","","TORTOISE SHELL","Midweight","HWM"
"TRIPOD ONE","1","M","0100","2","","n","","","","6","","10","","5","Elite","Religious","TRIPOD ONE","Midweight","HM"
"TRIPOD TWO","1","M","0001","2","","n","","","","4","","8","","8","Elite","Religious","TRIPOD TWO","Midweight","HMM"
"UNCOMMON SPEAR","1","L","0111","4","_+2d6\nATK","w","","","","","","","","4","Military","","UNCOMMON SPEAR","Elite","FE"
"VESSEL BLUE","1","H","0010","2","","n","","","3","","","12","","4","Food","","VESSEL BLUE","Midweight","M"
"VESSEL BLUE TWO","1","M","0100","2","","n","","","","4","","10","","5","Food","","VESSEL BLUE TWO","Midweight","M"
"VESSEL RED","1","H","0010","1","","n","","","3","","","4","","2","Food","","VESSEL RED","Midweight","M"
"VESSEL SILVER","1","M","1000","3","","n","","","","3","","6","","6","Elite","","VESSEL SILVER","elite","E"
"VESSEL TALL","1","H","","2","","n","","","3","","","6","","3","Food","","VESSEL TALL","bulk","B"
"EOF","","","","","","","","","","","","","","","","","EOF","",""
"","","","","","","","","TOTALS","51","73","45","","","","","","","",""
"","106","","","","","","","","","","","689","","","","","","",""
