Cap,,Count,L cost,510 characters max,
Man Overboard,"Play during a Storm to force player to discard Specialist, though any Specialist ability (e.g. Expert Helmsman) still applies to this Voyage. If no Specialist, lose ten crew.",1,5,"There Phoebus Apollo the helmsman / Slew, attacking him with gentle bolts, / As he held the rudder in his hands while the ship sped on (Homer _Odyssey_ 3.279–81).",
Master Shipwork,"+2 MPs to all Voyage cards (but not for purposes of moving first). Can only be played when receiving a new ship, or when passing a complete turn at a Palace for Refit. ",1,5,"Harmonides, who knew how to fashion all intricate things / By hand . . . / Who even built balanced ships for Alexandros (Homer _Iliad_ 5.60–2).",
Night Attack,"Conduct free Sack Palace attempt following normal Hospitality (but not if Hostage or Ambush card is drawn) with +4d6 in first round. If successful, lose Fame = Palace Rank x 10.",1,4,"And after being carried to Sidon, Alexander sacks the city (Proclus, Chrestomathy 80).",
Night Voyage,Play during other player's turn. Hero and ship move instantly to any other Palace on same Sea (undergoing any active Storm; divine storms cannot be played). Cannot be played to and from Thebes.,1,3,"Aphrodite brings Helen and Alexander together and, after their love-making, they load most (of Menelaus’) possessions and sail off by night (Proclus, _Chrestomathy_ 80).",
Phoenician Pirates,Forces immediate Ship-to-Ship battle with other Hero mid-voyage. Pirate strength 6d6 reduced by 1d6 for each sea AREA away from home territory.  +2 Fame for every step of Pirates eliminated. Pirates cannot be played in Sea affected by Storm.,1,O2,"Or do you rove at random / Like pirates over the sea who wander / Risking their souls, bringing evil to foreign people (Homer _Odyssey_ 3.72–4).",
Rumors,Add or remove any Region Visited token (any player) and gain five Fame.,1,2,"A rumor you may hear / From Zeus, which very often brings reports to men (Homer _Odyssey_ 1.282–3).",
Sea Sacrifice,Sacrifice one Gift while at Sea; roll d6 = Fame and gain Oracle token for each success. ,1,1,We take out to sea all the items necessary for the spirits of the dead (Euripides _Helen_ 1247).,
Shifting Wind,Rotate current voyage card up to 90 degrees in either direction and apply new MP values.,1,2,"And next for us behind our dark-prowed ship / A favorable wind she sent, sail-filling, a fair companion (Homer _Odyssey_ 11.6–7).",
Fair Wind and Smooth Sea,"Cancel a Storm in one Sea Region (including from Divine Patroness) AND all Sea Circles in the Region cost 2 MP, all Coastal Circles 1 MP for all players on this turn.",2,4O,"On the third day from Sparta, Alexandros reached Troy, carrying Helen, with a fair wind and smooth sea (Herodotus 2.117). ",
Sunder,"During Trial Combat (only), Choose one weapon or armor to break immediately: return to Gift Pool, person who played card gains equal Fame. OR +2d6 to one Sack Palace roll.",1,1,"Then the son of Atreus, having drawn his silver-studded sword / Struck on high his helmet ridge; but about it / shattered in three and four parts the sword fell from his hand (Homer _Iliad_ 3.364–6).  ","OR Hector, standing near, the ashen spear of Ajax / Struck with his great sword, behind the shaft at the point, / And struck it clear away (Homer _Iliad_ 16.114–16)"
Syrian Pirates,Forces immediate Ship-to-Ship battle with other Hero mid-voyage. Pirate strength 6d6 reduced by 1d6 for each sea AREA away from home territory. +2 Fame for every step of Pirates eliminated. Pirates cannot be played in Sea affected by Storm. Pirates cannot be played in Sea affected by Storm.,1,3,"Or do you rove at random / Like pirates over the sea who wander / Risking their souls, bringing evil to foreign people (Homer _Odyssey_ 3.72–4).",
Political Hysteria,+4d6 to one Make Alliance attempt.,1,2,"Agamemnon, sending a herald to each of the kings . . . urged each to make sure of his own wife, saying that the contempt show for Greece was one and the same for all (ps.-Apollodoros _Epitome_ 3.6). ",
Sea-God's Favor,+5 MPs to any one Voyage Card OR 8d6 (once) against any Pirates before Ship-to-Ship battle [OR Naval Engagement] OR -1d6 from Intercept attempt OR Cancel Man Overboard OR -2d6 Storm.,2,4,"Hear me, Poseidon Earth-Shaker, and do not refuse / To accomplish these deeds for us who pray. (Homer _Odyssey_ 3.55–6).",
Unseasonable Wind,"Search Voyage Deck for first card of any later season. Swap or not with top card of Voyage Deck, then play as Voyage Card for this turn. May be played for self or other player.",1,2,"And for all the month the South wind blew unceasingly, nor did any other / Breeze arise save East and South (Homer _Odyssey_ 12.325–6).",
Will of Zeus,Cancel any Theme card OR + 4d6 any roll OR Inflict damage of 2D6 x current Hull + Crew Hit Points during other player's Voyage (target distributes damage to Hull and / or Crew).,1,6,"And the heroes at Troy were being killed, and the Will of Zeus was brought to pass (_Cypria_ Fragment 1).",Then at once Zeus thundered and threw his lightning at the ship; / And it was shaken all-through . . . / and filled with smoke; and all the men fell from the ship (Homer _Odyssey_ 14.305–7).
Unmoored,Cause a Hero and his Ship to move from Palace to adjacent Sea Circle. Can only be played after Hero has undergone Encounter phase.,1,3,"And straightway a storm-wind snatched and bore them out to sea / Weeping, away from their native land (Homer _Odyssey_ 10.48–9)",
Sea Monster,8d6 Sea Monster attacks any other player's ship. Sea Monster fights to death. Hero gains 24 fame for killing Sea Monster.,1,5,"Or a great god may send me some monster / From the sea, the sort which famous Amphitrite nourishes in quantity (Homer _Odyssey_ 5.421–2).",
Blood Lust,"Add 2d6 to all combat rolls by Crew during one Ship Melee (Pirates, Intercept, Ship-to-Ship) OR during one Trial Combat.",1,2,"Not without a god does he rage this way, but nearby stands / One of the gods, his shoulders wrapped in cloud (Homer _Iliad_ 5.185–6).",
Opposing Wind,Flip any player's Voyage card 90 degrees and apply those Movement Point values this turn for that Sea Area (for all players).,1,3,"But the force of wind drove them from there, / Greatly unwilling (Homer _Odyssey_ 13.266–7).",
Begging Off,Cancel another player's successful Make Alliance attempt by returning to the Gift Pool gifts of the same or greater Fame as used to secure the alliance. ,1,0,"This mare Ekhepolos, son of Ankhises, gave to Agamemnon— / A gift, so as not to follow him to windy Ilion / But to stay at home enjoying himself (Homer _Iliad_ 23.296–8).",
Divine Mist,Immediately avoid Trial Combat (either before or during) with no loss of Fame. ,1,5,"And him Apollo snatched away / Very easily, as can a god, and hid him then in a great mist (Homer _Iliad_ 20.443–4).",
Disokouroi,"Add 2 MPs to current Voyage Card, and substract 2d6 from any Storm this turn OR Cancel negative effects of Ambush or Hostage Hospitality cards.",1,1,"Horse-tamer Kastor and blameless Polydeukes, / . . . Saviours . . . / of swift-faring ships, whenever rush the winds of / Winter across the ungentle sea (_Homeric Hymn to the Dioskouroi_3–8).",
Hidden Reef,"Cause 5d6 damage against Ship Strength of any Ship sailing in Coastal waters. If reduced to 0, Hero is Shipwrecked (000) in the closest non-Palace coastal Circle.",1,1,"There is no clear way out from the grey see anywhere, / For on the far side are sharp crags, and all around the surf / Roars rushing, and rock runs up smooth, / And deep close-in is the Sea (Homer _Odyssey_ 5.410–14).",
Fabled Wealth,Examine all stacks of Gifts at the Palaces of any one Land Region.,1,1,"Polybos . . . who lived at Thebes / In Egypt, where the most possessions reside in houses; / he gave Menelaos two silver bathtubs, / And two tripods, and ten talents of gold (Homer _Odyssey_ 4.126–9).",
Inside Information,Examine all Theme Cards in one other player’s hand.,1,0,"O friends, would not some man trust his own / Heart, daring to go among the great-hearted / Trojans, that he might perhaps . . . / Learn some plan in the Trojans’ midst, / Whatever they are devising among themselves (Homer _Odyssey_ 10.204–8).",
Foresight,"Examine and re-arrange top four cards of Theme Deck, Hospitality Deck, or Voyage Deck.",2,1,"Among them rose / Kalkhas son of Thestor, much the best of diviners, / Who knew that which is, and what is to be, and what was before (Homer _Iliad_ 1.68–70).",
Local Raid,"A gang of impoverished aristocratic youths beset a Ship as it nears Palace. Resolve as a 3d6 Intercept attempt (see 000). If Intercept is successful, resolve as Ship Melee, with gang fighting at 6d6. If Crew reduced to 0, Hero is shipwrecked in the closest non-Palace coastal Circle. If Hero reduced to 0, undergo Restart (000).",1,3,"There is a rocky island mid-sea / . . . / . . . And ship-sheltering harbors it has, / Entrances on either side. / There in ambush the Achaeans awaited him (Homer _Odyssey_ 4.844–7)",
!EOF!,"move this line, in order to prevent the system reading in text below which throws errors",,,,
,,,,,
,TOTALS:,54,105,,
,AVG COST PER CARD,,,,
,,,,,
OUTTAKES,,,,,
Intercept,"Allied palace may attempt to Intercept passing Hero. Roll d6 = Palace Rank – 1d6 for each Sea Circle away from the Palace. On a success, proceed to Ship Battle (see 000) [UNLESS Hero has Fleet or Sea Peoples, in which case proceed to Naval Engagement]. If unsuccesful, the Hero may not proceed to this palace during this voyage phase (except with Disguise card).",4,4,"Seize this man, whoever he is, since he has wronged his host; lead him here to me, so I may know what he has to say (Herodotus 2.114).",
Aganos,"Any child is born to Paris and Helen. Play only in final Season, and only if Paris possesses a Helen. Aganos always remains attached to Paris. If Paris ends game with the real Helen, he gains 50 Fame if she is Willing, but loses 50 if Unwilling. ",1,6,"Pleisthenes (sc. was the son of Helen and Menelaus), with whom Aganos, the son born by her to Paris, also arrived to Cyprus (Scholion to Euripides _Andromache_ 898).",
