"Name","Count","Count","Num Gifts","Kind (Expert, Hostile, Mission)","Flavor text","Mission Reward","","","","","","","","","","","","","","","","","","","",""
"Hostage","1","Your Host has heard rumors of your efforts to help his enemies. Roll one die: if you succeed your Host gives you one Gift. If you fail the Palace attacks you. ","0","Hostile","From those possessions Father would give you boundless ransom, / If once he learns I am alive (Homer _Iliad_ 10.380–1).","","","","","","","","","","","","","","","","","","","","",""
"Kinnaru's Gift","1","The royal couple share your love of music, and instruct their Chief Singer to see to your guest-gifts. Draw Gifts = Palace Rank, and search Gift Pool to take Lyre or Music Girls (if available). ","0","Divine","Him they found delighting his heart with a bright lyre— / Beautiful, elaborate, and on it was a silver crossbar (Homer _Iliad_ 9.186–7).","","","","","","","","","","","","","","","","","","","","",""
"Kothar's Gift","1","This King controls a renowned bronze workshop in the Ingot God's sanctuary. He sees your need and takes you to his armoury: search Gift Pool for one Special Weapon or Armor (if available). ","Rank","Divine","Next in turn he donned the corselet round his chest / Which once Kinyras gave him as a friendship-gift (Homer _Iliad_ 11.19–20).","","","","","","","","","","","","","","","","","","","","",""
"Lying in Wait","1","A gang of impoverished aristocratic youths besets your ship just around the last headland before the harbor. Treat as pirates with 6 hitpoints. If you win proceed to Palace and are compensated with a fine banquet (draw Gifts = Palace Rank + 1).","Rank +1","Hostile","There is a rocky island mid-sea /... /... And ship-sheltering harbors it has, / Entrances on either side. / There in ambush the Achaeans awaited him (Homer _Odyssey_ 4.844–7).","","","","","","","","","","","","","","","","","","","","",""
"Master Archer","1","The King learns of your need and, after providing a solid repast, restores your Crew to full strength and bids his Master Archer join your expedition. Master Archer allows one preliminary 3 die attack in any Ship Melee or Sack Palace attempt, and hits on Wits or Might. ","Rank","Expert","At once he fit a bitter arrow to the string / And prayed to Apollo, wolf-born, famous for the bow (Homer _Iliad_ 4.118–20).","","","","","","","","","","","","","","","","","","","","",""
"Master Navigator","1","The Queen is moved by your plight, and dispatches her Master Navigator to expedite your journey. Master Navigator can rotate a Voyage Card 45 degrees each turn.","Rank +1","Expert","And straightaway, when we had made all gear ready throughout the ship, / We sat, and wind and steersman made straight her course (Homer _Odyssey_ 12.151–2).","","","","","","","","","","","","","","","","","","","","",""
"Micrologos","1","Just your luck: your Host is a miserly kill-joy who makes you sleep alone on the portico.","1","","Therefore do not rush and send him packing, nor gifts / Curtail for him in need like this; for you have many / Possessions laid up in your palace by the gods’ favor (Homer _Odyssey_ 11.339–40).","","","","","","","","","","","","","","","","","","","","",""
"Nepenthe","1","This Palace, though welcoming and generous, has a strangely lethargic atmosphere. You may also search Gift Pool for the Nepenthe Gift. The Queen adds some of this same drug to your wine: recover all Hit Points and restore Crew to full strength, but skip your next turn.","Rank","","Then she put into the wine, of which they drank, a drug, / Pain-free, angerless, forgetfulness of every ill (Homer _Odyssey_ 4.220–1)","","","","","","","","","","","","","","","","","","","","",""
"New Ship","1","Your royal Host offers you a new ship. You may restore Ship and Crew to 5 (discard Expert Shipwork if you have it, or play it now if in your hand). ","Rank","","Alkinoos stowed well the gifts beneath the benches, / Going himself throughout the ship (Homer _Odyssey_ 13.20–1).","","","","","","","","","","","","","","","","","","","","",""
"Old Windbag","1","You are handsomely entertained, but yours is a garrulous older Host with many tales to tell. Forfeit next Voyage phase and remain at Palace with no further Encounter or Helen phase. Draw two extra theme cards. ","Rank x2","","Do not lead me past my ship, but leave me here, / That your old man not detain me unwilling in his house, / With his eager welcome (Homer _Odyssey_ 15.199–200).","","","","","","","","","","","","","","","","","","","","",""
"Pirate Ally","1","After a night of feasting, you meet and strike a bargain with a salty captain. You may search Theme Deck and take one Pirates Card; discard one if necessary.","Rank","","(Zeus) impelled me with much-roving pirates / To go to Egypt—a long road, that I might perish (Homer _Odyssey_ 17.425–6).","","","","","","","","","","","","","","","","","","","","",""
"Queen of Heaven","1","You arrive as a cosmopolitan crowd has gathered to celebrate the Great Goddess. Search Theme Deck for _Aphrodite_ or _Hera_ (if available). Discard one card if necessary.","Rank","Divine","But laughter-loving Aphrodite then arrived to Cyprus, / To Paphos; and there she has her precinct and perfumed altar (Homer _Odyssey_ 8.362–3).","","","","","","","","","","","","","","","","","","","","",""
"Queen's Mercy","1","The Queen, moved by your trials and tribulations, bestows valuable items in your Ship to help rebuild your fortune.","Rank x2","","If for you she thinks kind thoughts within her heart, / Then there’s hope to see your friends and reach / Your high-roofed home and win back to your fatherland (Homer _Odyssey_ 7.75–6).","","","","","","","","","","","","","","","","","","","","",""
"Rumors of Helen","1","During a feast with the King and local aristocrats, you meet a captain who has just returned from coasting through Hatti and Syria. You may examine one Helen/Phantom at a Palace in each of these regions.","Rank","","My name, however, meanwhile along the banks of the / Simois gathers a false report (Euripides _Helen_ 251–2).","","","","","","","","","","","","","","","","","","","","",""
"Rumors of Helen","1","During a feast with the King and local aristocrats, you meet a captain who has just returned from coasting through Phoenicia and Philistia. You may examine one Helen/Phantom at a Palace in each of these regions.","Rank","","","","","","","","","","","","","","","","","","","","","","",""
"Rumors of Helen","1","During a feast with the King and local aristocrats, you meet a captain who has just returned from coasting through Libya and Egypt. You may examine one Helen/Phantom at a Palace in each of these regions.","Rank","","My name, however, meanwhile along the banks of the / Simois gathers a false report (Euripides _Helen_ 251–2).","","","","","","","","","","","","","","","","","","","","",""
"Sea God's Festival","1","Good timing! The Palace is celebrating their Sea God. You may search Theme Deck for any card that effects voyage. Discard one card if neccesary.  ","Rank","Divine","And they, upon the ocean’s strand were making sacrifice, / Bulls all-black, to the dark-haired Earth-Shaker (Homer _Odyssey_ 3.5-6).","","","","","","","","","","","","","","","","","","","","",""
"Singer","1","Your Host has engaged a famous travelling Singer for the feast. The Singer offers to join your companions and magnify your fame. Take the singer from the gift pool if availabe. Whenever the season changes while the Singer is with you, gain one fame. ","Rank +1","Expert","Men celebrate most that song / Which, to them listening, newest comes (Homer _Odyssey_ 1.351–2).","","","","","","","","","","","","","","","","","","","","",""
"Steamy Asaminthos","1","The welcome here is so so warm that your bath is drawn by the King’s own daughter! If you exercise sufficient charm, you may leave behind more than your memory. You may discard a Hera or Aphrodite theme card to automatically ally this palace.","Rank +2","","Then beautiful Polykaste, youngest daughter of / Nestor son of Neleus, bathed Telemakhos (Homer _Odyssey_ 3.464–5) •And then to Telemakhos did well-girdled Polykaste, / Youngest daughter of Nestor son of Neleus, / Bear Persepolis, mingling through golden Aphrodite (Hesiod _Catalogue of Women_ fragment 221 M-W). ","","","","","","","","","","","","","","","","","","","","",""
"Storm God Festival","1","You arrive during the Storm God’s great New Year festival. The royal couple lavish you with friendship Gifts. You may search the Theme Deck and take Zeus (if available).","Rank +1","Divine","Vow to all the gods that perfect hecatombs / You will sacrifice, if ever Zeus accomplish payback deeds (Homer _Odyssey_ 17.50–1).","","","","","","","","","","","","","","","","","","","","",""
"Useful Contact","1","You enjoy a solid royal feast. In the morning, another voyager speaks to the assembled nobles, and you learn of conditions on the next stage of your journey. You may discard one or two Theme Cards and draw to replace OR examine one Helen at any Palace.","Rank","","Go to the assembly-place, so you may learn of the stranger, / Who just now reached the home of wise Alkinoos, / Driven upon the sea (Homer _Odyssey_ 8.12–14).","","","","","","","","","","","","","","","","","","","","",""
"Warrior Poet","1","Your Host calls upon you to tell your tale before the assembled nobles. Roll dice times Palace Rank + 2. For each sucess draw one gift. If there are three or more successes gain one fame. ","Rank","","But on you is a comeliness of words, and noble mind inside you. / Your tale you told in skillful wise as when a singer sings (Homer _Odyssey_ 11.367–8).","","","","","","","","","","","","","","","","","","","","",""
"Waylaid","1","On your way up to the Palace, and out of sight from your Crew, you are jumped by a gang of impoverished aristocratic ne'er-do-wells. Resolve as mandatory Trial Combat against an opponent with Hit Points = Palace Rank + 1, and inflict 1HP on might. ","0","Hostile","But let us get the jump, seizing him in the field outside the city, / Or in the road; and let us ourselves have his livelihood and possessions, / Sharing out equally among ourselves (Homer _Odyssey_ 16.383–5).","","","","","","","","","","","","","","","","","","","","",""
"Wise Elder","1","You are handsomely entertained by an old monarch with much wisdom to impart. Draw two Theme cards: you may keep one or both, discarding other cards if necessary. ","Rank +2","","First of all for them there wove his counsel the old man, / Nestor, whose counsel had also seemed the best before (Homer _Iliad_ 7.324–5).","","","","","","","","","","","","","","","","","","","","",""
"Wrath of Baal","1","You are royally entertained during a Feast of All Gods. But one ritual has gone amiss, and the Storm God's anger is rising. Move the nearest storm to this palace. ","Rank +1","Divine","Then indeed a storm-wind snatched him up / And upon the fishy sea it bore him gravely groaning, / Unto the farthest reach of land (Homer _Odyssey_ 4.515–17).","","","","","","","","","","","","","","","","","","","","",""
"Friends in Egypt","1","The king bids you visit his friends in Egypt. Go to a palace other than this one in Egypt and undergo a friendly hospitality encounter, then discard this card and draw two extra gifts.","Rank","Mission","","Two Gifts. ","","","","","","","","","","","","","","","","","","","",""
"Friends Philistia","1","The king bids you visit his friends in Philistia. Go to a palace other than this one in Philistia and undergo a friendly hospitality encounter, then discard this card and draw a gift.","Rank","Mission","","Two Gifts. ","","","","","","","","","","","","","","","","","","","",""
"Friends Lukka","1","The king bids you visit his friends in Lukka. Go to a palace other than this one in Lukka and undergo a friendly hospitality encounter, then discard this card and draw a gift.","Rank","Mission","","One Gifts. ","","","","","","","","","","","","","","","","","","","",""
"Friends Lybia","1","The king bids you visit his friends in Lybia. Go to a palace other than this one in Lybia and undergo a friendly hospitality encounter, then discard this card and draw two gifts.","Rank","Mission","","Two Gifts. ","","","","","","","","","","","","","","","","","","","",""
"Friends Syria","1","The king bids you visit his friends in Syria. Go to a palace other than this one in Syria and undergo a friendly hospitality encounter, then discard this card and draw two gifts","Rank","Mission","","Two Gifts. ","","","","","","","","","","","","","","","","","","","",""
"Friends Cyprus","2","The king bids you visit his friends in Cyprus. Go to a palace other than this one in Cyprus and undergo a friendly hospitality encounter, then discard this card and draw two gifts.","Rank","Mission","","One Gift. ","","","","","","","","","","","","","","","","","","","",""
"Friends Phoenicia","1","The king bids you visit his friends in Phoenicia. Go to a palace other than this one in Phoenicia and undergo a friendly hospitality encounter, then discard this card and draw two gifts.","Rank","Mission","","Two Gifts. ","","","","","","","","","","","","","","","","","","","",""
"Copper Delivery ","2","Give two copper ingots to any palace, discard this card and gain one fame.","0","Mission","","One Gift one fame.","","","","","","","","","","","","","","","","","","","",""
"Royal marrige","1","Give away a Helen to a palace without one to automatically ally the palace.","Rank","Mission","","Automatically ally the palace.","","","","","","","","","","","","","","","","","","","",""
"Clear the seas","1","Win three ship melee against pirates, gain one fame.","Rank","Mission","","One Fame. ","","","","","","","","","","","","","","","","","","","",""
"Rival City","1","Sack a palace not in this region, draw three extra gifts.","Rank","Mission","","","","","","","","","","","","","","","","","","","","","",""
"Map Maker","2","Whenever you visit a region, put a region visited token on this card in addition. When it has three discard it. And draw three gifts and gain one fame.","Rank","Mission","","","","","","","","","","","","","","","","","","","","","",""
"","49","","","","","","","","","","","","","","","","","","","","","","","","",""
